graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,modularity_regime,mu_t_input,mu_w_input,n,mean_auc,sd_auc,median_auc,min_auc,max_auc,se_auc,ci95_lower_mean,ci95_upper_mean
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.0029742728766201875,0.002195024149279474,0.00269351077549525,8.269225420989845e-05,0.0084075235176802,0.0003470637915398291,0.0022722700967990443,0.0036762756564413307
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.0035077916716236474,0.0025408134005225525,0.0027317965663351497,0.000429686399281,0.0100702197031102,0.000401737872756446,0.002695200124164301,0.0043203832190829945
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.003788821533991421,0.0024550609327446187,0.0036890850795101,5.748318713983512e-05,0.0106325261109503,0.0003881792170985226,0.003003654956219261,0.004573988111763581
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.0026186214887879574,0.002138851890343838,0.0017632783940353,0.0001666565834376,0.0103821434772104,0.00033818217756216134,0.001934583468914714,0.0033026595086612007
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.003186155370571802,0.0024339663071061136,0.00254060232310165,9.429577621078028e-05,0.0111842528550542,0.00038484386392820957,0.0024077351813723497,0.003964575559771254
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.01561180957091897,0.007157954463025833,0.01398106713367685,0.0067476041287463,0.0432779943395989,0.001131771974546457,0.013322584674451774,0.017901034467386164
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.015480037743440797,0.008933009317479257,0.0126583299047535,0.0047395468381824,0.0428861289268527,0.0014124327901370317,0.012623122763668436,0.01833695272321316
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.01716979653413969,0.005677957192800107,0.01603049083668625,0.0061944113322113,0.0277004188864027,0.000897763859309207,0.015353897727577795,0.018985695340701582
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.015324011037137247,0.007657210497547605,0.01294376283160115,0.0067295579898454,0.0366508877968518,0.0012107112847800795,0.012875116314626539,0.017772905759647954
null,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.01607958941856626,0.007966118291982396,0.0138506032222505,0.0058602577230481,0.0368529793020915,0.0012595538956497309,0.01353190119053862,0.0186272776465939
