graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,n_groups_expected,n_groups_observed,total_n,min_n_per_group,max_n_per_group,balanced_to_planned_n_runs,anova_F,anova_df_between,anova_df_within,anova_p_value,anova_significant_0p05,levene_statistic,levene_p_value,equal_variance_not_rejected_0p05,welch_F,welch_df_num,welch_df_denom,welch_p_value,welch_significant_0p05,eta_squared,omega_squared,omega_squared_raw
lfr,edge_weakening,random_edge,random_edge,edge,weighted_efficiency,auc_abs_delta,7,7,280,40,40,True,86.65867979654871,6,273,2.537847861551374e-60,True,6.705412574971374,1.2283267037062264e-06,False,59.61699943793958,6.0,120.41565502318682,9.479914321706924e-34,True,0.6557168997901247,0.64733387885261,0.64733387885261
lfr,edge_weakening,random_edge,random_edge,edge,weighted_efficiency,auc_abs_marginal_delta,7,7,280,40,40,True,90.30800791825614,6,273,6.335024028517579e-62,True,7.025167832553609,5.761615523259037e-07,False,64.64770849063811,6.0,120.51604884013013,2.391457107018784e-35,True,0.6649682099203844,0.6567988354513691,0.6567988354513691
lfr,edge_weakening,random_edge,random_edge,edge,weighted_efficiency,auc_raw,7,7,280,40,40,True,87.80800000682726,6,273,7.852971411148787e-61,True,6.814148725245484,9.494075333579322e-07,False,65.40563014121882,6.0,120.49103060569088,1.417551892468825e-35,True,0.6586851501960138,0.6503706071742975,0.6503706071742975
lfr,edge_weakening,random_edge,random_edge,edge,yuan_out_in_strength_assortativity,auc_abs_delta,7,7,280,40,40,True,3.4601004079476705,6,273,0.002599431278385618,True,1.9306524103113054,0.0760287918592576,True,2.3349506369899937,6.0,120.77258874253484,0.036133473116896866,True,0.07067184052151157,0.05007657850172068,0.05007657850172068
lfr,edge_weakening,random_edge,random_edge,edge,yuan_out_in_strength_assortativity,auc_abs_marginal_delta,7,7,280,40,40,True,1.4195491333658896,6,273,0.20706612103468627,False,0.3545245394977689,0.9069341009167973,True,1.4466965067525162,6.0,121.24567917663153,0.20240789693016073,False,0.030254961089479147,0.008910232564613953,0.008910232564613953
lfr,edge_weakening,random_edge,random_edge,edge,yuan_out_in_strength_assortativity,auc_raw,7,7,280,40,40,True,9.650637012389238,6,273,1.23422713528061e-09,True,0.4928272289031233,0.8135337231003481,True,10.190137410974103,6.0,121.14667051351039,4.12440111588846e-09,True,0.17498686389100604,0.1563821162104927,0.1563821162104927
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity,auc_abs_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity,auc_abs_marginal_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity,auc_raw,7,7,280,40,40,True,2364.259799017941,6,273,4.3795049726287024e-232,True,8.494620062860761,1.814755564830241e-08,False,1809.714762344772,6.0,120.36304356852378,2.0449859938475632e-115,True,0.9811184500552532,0.9806356470493344,0.9806356470493344
lfr,edge_weakening,spectral_gamma,spectral_gamma,edge,community_assortativity_louvain_dynamic,auc_abs_delta,7,7,280,40,40,True,3.5082343329727914,6,273,0.0023262204193551304,True,3.50823433297279,0.0023262204193551304,False,,6.0,,,False,0.07158458942097505,0.05100639313928014,0.05100639313928014
