graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,group1,group2,mu_t_group1,mu_t_group2,mean_difference_group2_minus_group1,ci95_lower,ci95_upper,p_value_tukey_adjusted,reject_tukey_0p05
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,0.0007426204507017704,-0.010877534352548384,0.012362775253951925,0.9999960134500676,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,0.005218224907323724,-0.006401929895926431,0.016838379710573878,0.8354314780313393,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,-6.116269326823798e-05,-0.011681317496518392,0.011558992109981917,0.9999999999987091,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p175,0.1,0.175,-0.0007767989358204858,-0.01239695373907064,0.010843355867429669,0.9999947894695665,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p225,0.1,0.225,-0.009400967948435188,-0.021021122751685342,0.002219186854814967,0.2011942979688286,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p300,0.1,0.3,-0.00824234815611636,-0.019862502959366514,0.003377806647133795,0.35146472848338395,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p150,0.125,0.15,-0.0052793876005919615,-0.016899542403842116,0.006340767202658193,0.8277021675138376,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p175,0.125,0.175,-0.005995023843144209,-0.017615178646394364,0.005625130960105945,0.7249780710850371,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p225,0.125,0.225,-0.014619192855758911,-0.026239347659009066,-0.0029990380525087568,0.004210666860222312,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,mu_0p300,0.125,0.3,-0.013460573063440083,-0.025080727866690238,-0.0018404182601899285,0.011794379656655085,True
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p175,0.15,0.175,-0.0007156362425522478,-0.012335791045802402,0.010904518560697907,0.9999968019772962,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p225,0.15,0.225,-0.00933980525516695,-0.020959960058417104,0.0022803495480832048,0.20783523403981874,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,mu_0p300,0.15,0.3,-0.008181185462848121,-0.019801340266098276,0.003438969340402033,0.3607304740406023,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p225,0.175,0.225,-0.008624169012614702,-0.020244323815864856,0.0029959857906354526,0.2964287727605681,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,mu_0p300,0.175,0.3,-0.007465549220295874,-0.019085704023546028,0.004154605582954281,0.47649030046097995,False
lfr,node_removal,out_strength,out_strength,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,mu_0p300,0.225,0.3,0.0011586197923188282,-0.010461535010931326,0.012778774595568983,0.9999444144341517,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p100,0.075,0.1,0.0012544683554209356,-0.0005797475918367843,0.0030886843026786555,0.3971820487563925,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p125,0.075,0.125,0.002194130426936036,0.00035991447967831597,0.004028346374193756,0.008062290081731982,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p150,0.075,0.15,0.002537102268114084,0.0007028863208563643,0.0043713182153718045,0.0010245305638877378,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p175,0.075,0.175,0.003403437324829282,0.001569221377571562,0.005237653272087002,1.7093798758693879e-06,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p225,0.075,0.225,0.0032137748534994647,0.0013795589062417448,0.005047990800757185,7.906399241308648e-06,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,mu_0p300,0.075,0.3,0.003979683360718684,0.0021454674134609637,0.005813899307976404,1.0921650583917142e-08,True
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p125,0.1,0.125,0.0009396620715151002,-0.0008945538757426197,0.00277387801877282,0.7315608358851009,False
lfr,node_removal,random,random,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,mu_0p150,0.1,0.15,0.0012826339126931485,-0.0005515820345645714,0.0031168498599508684,0.36922583338979875,False
