modularity_regime,mu_t_input,mu_w_input,run_id,replicate_id,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_lfr,auc_null,delta_auc_lfr_minus_null
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,weighted_efficiency,0.6594416158663391,0.7938019411829587,-0.13436032531661957
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,yuan_out_in_strength_assortativity,0.025285520028073,0.0394108928980697,-0.014125372869996697
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,community_assortativity,0.0145481785777465,0.0132116086559109,0.0013365699218356002
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,community_assortativity_louvain_dynamic,0.0398270355205141,0.0985020324234171,-0.058674996902902996
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,gscc_ratio,0.511177777777778,0.3462222222222223,0.16495555555555563
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,reachability,0.559393139448173,0.4776487695749442,0.08174436987322886
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,spectral_gamma,,1.6216918362838904,
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,spectral_kappa,,1.5137808043958991,
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,weighted_directed_community_assortativity,0.0261311192113607,0.0170619521969594,0.009069167014401303
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,weighted_directed_community_assortativity_louvain_dynamic,0.0330303471981507,0.1580405621954514,-0.1250102149973007
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,weighted_efficiency,0.669594137731348,0.741737879722028,-0.07214374199067997
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_betweenness,weighted_betweenness,node,yuan_out_in_strength_assortativity,0.0419176694088684,0.1055287049587768,-0.06361103554990839
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,community_assortativity,0.0256095430426234,0.0095832332769435,0.0160263097656799
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,community_assortativity_louvain_dynamic,0.1029394665344715,0.0645762240265062,0.0383632425079653
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,gscc_ratio,0.4480444444444445,0.3299333333333334,0.11811111111111111
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,reachability,0.5205894108873976,0.4727753914988815,0.04781401938851615
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,spectral_gamma,0.0331940718369285,5.338464255747207,-5.305270183910278
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,spectral_kappa,0.0337968607214984,4.918862144366525,-4.885065283645027
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,0.0253106069037002,0.0100031113673055,0.0153074955363947
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity_louvain_dynamic,0.0681830232182318,0.1066961037340406,-0.038513080515808804
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,weighted_efficiency,0.7296849639709532,0.797367248493911,-0.06768228452295788
mu_0p075,0.075,0.075,0,0,node_redistribution,weighted_slack,weighted_slack,node,yuan_out_in_strength_assortativity,0.0398630295071464,0.030295843982045,0.009567185525101402
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,community_assortativity,0.0110175417593292,0.008165331792474,0.0028522099668552015
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,community_assortativity_louvain_dynamic,0.0107090810752127,0.0568451597485677,-0.046136078673355
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,gscc_ratio,0.3622444444444445,0.3246666666666667,0.037577777777777766
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,reachability,0.4801145413870247,0.4720656226696496,0.00804891871737512
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,spectral_gamma,0.4778480604968834,3.933065761945695,-3.4552177014488117
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,spectral_kappa,0.4459241252477664,3.301254259705128,-2.8553301344573616
mu_0p075,0.075,0.075,0,0,node_removal,out_degree,out_degree,node,weighted_directed_community_assortativity,0.0133414552957215,0.0072507715939712,0.0060906837017503
