relative_path,filename,asset_type,size_bytes,size_mb
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/070_weighted_efficiency_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,070_weighted_efficiency_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,png,699458,0.6670551300048828
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/021_yuan_out_in_strength_assortativity_node_removal_random_raw_signed_delta.png,021_yuan_out_in_strength_assortativity_node_removal_random_raw_signed_delta.png,png,719958,0.6866054534912109
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/022_yuan_out_in_strength_assortativity_node_removal_weighted_slack_raw_signed_delta.png,022_yuan_out_in_strength_assortativity_node_removal_weighted_slack_raw_signed_delta.png,png,736826,0.7026920318603516
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/023_yuan_out_in_strength_assortativity_node_removal_out_strength_raw_signed_delta.png,023_yuan_out_in_strength_assortativity_node_removal_out_strength_raw_signed_delta.png,png,753551,0.7186422348022461
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/024_yuan_out_in_strength_assortativity_node_redistribution_random_raw_signed_delta.png,024_yuan_out_in_strength_assortativity_node_redistribution_random_raw_signed_delta.png,png,698402,0.6660480499267578
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/025_yuan_out_in_strength_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,025_yuan_out_in_strength_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,png,767572,0.7320137023925781
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/026_yuan_out_in_strength_assortativity_node_redistribution_out_strength_raw_signed_delta.png,026_yuan_out_in_strength_assortativity_node_redistribution_out_strength_raw_signed_delta.png,png,762141,0.7268342971801758
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/027_yuan_out_in_strength_assortativity_edge_weakening_random_edge_raw_signed_delta.png,027_yuan_out_in_strength_assortativity_edge_weakening_random_edge_raw_signed_delta.png,png,646437,0.616490364074707
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/028_yuan_out_in_strength_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,028_yuan_out_in_strength_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,png,636517,0.607029914855957
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/029_yuan_out_in_strength_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,029_yuan_out_in_strength_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,png,500125,0.4769563674926758
visuals/02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/030_yuan_out_in_strength_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,030_yuan_out_in_strength_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,png,558742,0.5328578948974609
visuals/03_paired_delta_auc/community_assortativity/001_community_assortativity_node_removal_random_paired_delta_auc.png,001_community_assortativity_node_removal_random_paired_delta_auc.png,png,181061,0.17267322540283203
visuals/03_paired_delta_auc/community_assortativity/002_community_assortativity_node_removal_weighted_slack_paired_delta_auc.png,002_community_assortativity_node_removal_weighted_slack_paired_delta_auc.png,png,181910,0.17348289489746094
visuals/03_paired_delta_auc/community_assortativity/003_community_assortativity_node_removal_out_strength_paired_delta_auc.png,003_community_assortativity_node_removal_out_strength_paired_delta_auc.png,png,180992,0.172607421875
visuals/03_paired_delta_auc/community_assortativity/004_community_assortativity_node_redistribution_random_paired_delta_auc.png,004_community_assortativity_node_redistribution_random_paired_delta_auc.png,png,187760,0.1790618896484375
visuals/03_paired_delta_auc/community_assortativity/005_community_assortativity_node_redistribution_weighted_slack_paired_delta_auc.png,005_community_assortativity_node_redistribution_weighted_slack_paired_delta_auc.png,png,188486,0.17975425720214844
visuals/03_paired_delta_auc/community_assortativity/006_community_assortativity_node_redistribution_out_strength_paired_delta_auc.png,006_community_assortativity_node_redistribution_out_strength_paired_delta_auc.png,png,188095,0.1793813705444336
visuals/03_paired_delta_auc/community_assortativity/007_community_assortativity_edge_weakening_random_edge_paired_delta_auc.png,007_community_assortativity_edge_weakening_random_edge_paired_delta_auc.png,png,134308,0.12808609008789062
